City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
102,olinda,-8.0089,-34.8553,28.85,65,40,3.6,BR,1675880003
103,aksarka,66.5606,67.7975,-4.45,83,45,9.08,RU,1675880553
104,husavik,66.0449,-17.3389,-6.25,75,63,5.77,IS,1675880553
105,pisco,-13.7,-76.2167,26.12,78,0,4.12,PE,1675880554
106,ratnagiri,16.9833,73.3,24.31,52,57,1.98,IN,1675880554
107,linhares,-19.3911,-40.0722,32.44,44,62,3.06,BR,1675880439
108,hay river,60.8156,-115.7999,-20.01,77,0,3.09,CA,1675880556
109,yaan,7.3833,8.5667,32.83,11,84,2.87,NG,1675880556
110,zheleznodorozhnyy,55.7503,38.0042,-2.71,93,100,3.45,RU,1675880556
111,conde,-7.2597,-34.9075,29.7,58,20,6.69,BR,1675880557
112,jamestown,42.097,-79.2353,4.77,60,0,0.0,US,1675880307
113,baruun-urt,46.6806,113.2792,-15.38,91,96,2.6,MN,1675880557
114,katsuura,35.1333,140.3,7.38,82,90,5.52,JP,1675880454
115,rapid city,44.0805,-103.231,10.61,38,20,10.73,US,1675880558
116,san patricio,28.017,-97.5169,13.93,82,93,8.01,US,1675880463
117,port elizabeth,-33.918,25.5701,21.29,79,0,1.79,ZA,1675880559
118,springdale,36.1867,-94.1288,7.85,96,100,5.14,US,1675880305
119,pevek,69.7008,170.3133,-32.02,100,100,3.08,RU,1675880560
120,edelira,-26.75,-55.2667,39.52,15,7,0.82,PY,1675880560
121,hambantota,6.1241,81.1185,24.61,79,70,6.02,LK,1675880561
122,tighina,46.8306,29.4711,-2.57,68,2,4.17,MD,1675880561
123,puerto escondido,15.85,-97.0667,32.46,62,0,2.57,MX,1675880562
124,upata,8.0086,-62.3989,27.88,45,95,2.86,VE,1675880562
125,dikson,73.5069,80.5464,-15.58,79,100,6.64,RU,1675880319
126,daru,-9.0763,143.2092,24.67,93,100,5.84,PG,1675880563
127,chadan,51.2833,91.5833,-24.08,96,100,0.92,RU,1675880563
128,asau,46.4333,26.4,-9.29,96,49,2.05,RO,1675880563
129,nkhata bay,-11.6066,34.2907,23.92,77,92,3.75,MW,1675880564
130,meulaboh,4.1363,96.1285,24.08,89,100,1.72,ID,1675880564
131,nimaj,26.1497,74.0,18.94,25,3,1.89,IN,1675880565
132,ostrovnoy,68.0531,39.5131,-1.59,74,65,15.45,RU,1675880566
133,broken hill,-31.95,141.4333,23.48,22,2,1.75,AU,1675880566
134,saldanha,-33.0117,17.9442,19.16,84,29,6.36,ZA,1675880566
135,port hardy,50.6996,-127.4199,2.1,100,75,1.03,CA,1675880387
136,hami,42.8,93.45,0.3,59,27,2.66,CN,1675880567
